City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Nanortalik,GL,60.1432,-45.2371,42.82,76,100,11.23,overcast clouds
180,Virudunagar,IN,9.6,77.9667,81.0,65,28,2.53,scattered clouds
181,Ahuimanu,US,21.4447,-157.8378,83.91,58,40,17.27,scattered clouds
182,Mount Isa,AU,-20.7333,139.5,69.57,40,0,10.36,clear sky
183,Khatanga,RU,71.9667,102.5,36.86,71,97,10.04,overcast clouds
184,Niquero,CU,20.0431,-77.5828,79.29,81,19,4.63,few clouds
185,Richards Bay,ZA,-28.783,32.0377,57.24,80,0,7.63,clear sky
186,Ilulissat,GL,69.2167,-51.1,37.42,87,0,2.3,clear sky
187,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,87,99,2.98,overcast clouds
188,Bengkulu,ID,-3.8004,102.2655,80.2,76,28,1.72,scattered clouds
189,Trinidad,BO,-14.8333,-64.9,73.29,80,80,4.43,broken clouds
190,Mackay,AU,-21.15,149.2,74.68,64,90,12.66,overcast clouds
191,Carnarvon,AU,-24.8667,113.6333,64.47,63,100,11.5,overcast clouds
192,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,87,75,4.63,broken clouds
193,Nizhneangarsk,RU,55.7833,109.55,48.29,53,100,4.29,overcast clouds
194,Adelaide,AU,-34.9333,138.6,65.86,56,40,7.0,scattered clouds
195,Longyearbyen,SJ,78.2186,15.6401,35.44,80,0,5.75,clear sky
196,Gorontalo,ID,0.5412,123.0595,87.3,61,45,2.93,scattered clouds
197,Haines Junction,CA,60.7522,-137.5108,53.55,62,100,5.75,light rain
198,Mezen,RU,65.8522,44.24,39.92,62,2,5.97,clear sky
199,Dalvik,IS,65.9702,-18.5286,48.13,79,79,11.95,broken clouds
200,Yingcheng,CN,30.95,113.55,86.05,51,100,4.61,overcast clouds
201,Port Keats,AU,-14.25,129.55,83.66,27,7,4.14,clear sky
202,Luwuk,ID,-0.9516,122.7875,84.97,66,81,5.39,broken clouds
203,Sitka,US,57.0531,-135.33,53.49,62,90,4.61,overcast clouds
204,Vao,NC,-22.6667,167.4833,69.96,62,21,15.01,few clouds
205,Ranau,MY,5.9538,116.6641,79.45,63,100,2.26,overcast clouds
206,La Mana,EC,-0.9333,-79.2167,81.61,94,92,1.52,light rain
207,Requena,ES,39.4883,-1.1004,58.78,77,0,1.5,clear sky
208,San Cristobal,VE,7.7669,-72.225,69.98,99,100,1.3,overcast clouds
209,Florianopolis,BR,-27.6146,-48.5012,61.41,94,75,1.01,moderate rain
210,Saint George,US,37.1041,-113.5841,99.19,9,1,3.0,clear sky
211,Ormara,PK,25.2088,64.6357,83.7,71,98,6.31,overcast clouds
212,Fayaoue,NC,-20.65,166.5333,72.77,57,100,9.46,overcast clouds
213,Havoysund,NO,70.9963,24.6622,45.48,63,7,8.7,clear sky
214,Najran,SA,17.4924,44.1277,75.85,35,49,8.03,scattered clouds
215,Cuajinicuilapa,MX,16.4667,-98.4167,83.17,76,77,5.3,broken clouds
216,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,94,40,5.91,scattered clouds
217,Babu,CN,24.4167,111.5167,84.33,55,0,1.34,clear sky
218,Northam,GB,51.0333,-4.2167,54.14,95,55,4.52,broken clouds
219,Talara,PE,-4.5772,-81.2719,67.89,84,100,13.18,overcast clouds
220,Port-Gentil,GA,-0.7193,8.7815,78.33,87,100,9.19,overcast clouds
221,Pasighat,IN,28.0667,95.3333,78.44,90,93,0.78,overcast clouds
222,Vardo,NO,70.3705,31.1107,39.22,72,6,4.85,clear sky
223,Surab,PK,28.4914,66.2585,75.2,42,0,1.32,clear sky
224,Belaya Gora,RU,68.5333,146.4167,48.15,54,46,3.09,scattered clouds
225,Turgoyak,RU,55.15,60.1183,61.54,59,12,1.99,few clouds
226,Banjar,ID,-8.19,114.9675,80.46,57,43,2.1,scattered clouds
227,Perth,AU,-31.9333,115.8333,56.66,89,0,8.61,clear sky
228,Georgetown,MY,5.4112,100.3354,84.13,86,20,1.01,few clouds
229,Faranah,GN,10.0404,-10.7434,71.67,97,73,4.41,light rain
230,Kulu,TR,39.0951,33.0799,55.67,45,0,5.77,clear sky
231,Luderitz,NA,-26.6481,15.1594,66.85,33,0,12.33,clear sky
232,Codrington,AU,-38.2667,141.9667,63.3,52,100,24.96,overcast clouds
233,Charleston,US,32.7766,-79.9309,79.02,91,1,1.01,clear sky
234,Souillac,MU,-20.5167,57.5167,73.78,83,40,14.52,light rain
235,Provideniya,RU,64.3833,-173.3,41.11,60,75,11.18,light rain
236,San Ignacio,BZ,17.1561,-89.0714,78.94,94,40,5.53,scattered clouds
237,Mahanoro,MG,-19.9,48.8,66.74,81,82,9.46,light rain
238,Savalou,BJ,7.9281,1.9756,73.51,92,75,3.47,broken clouds
239,Bourail,NC,-21.5667,165.4833,73.13,57,89,10.45,overcast clouds
240,Laguna,US,38.421,-121.4238,93.9,30,1,7.0,clear sky
241,Sao Desiderio,BR,-12.3633,-44.9733,69.35,57,100,4.34,overcast clouds
242,Oktyabrskiy,RU,54.4815,53.471,59.13,72,1,1.05,clear sky
